h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0.000942550111366791,0.000376167652749615,2.64959776060669e-05,8.41413964486337e-06,2.64959776060669e-05,0.000942550111366791,0.00253319000182645,0.00151825815956608,1.07030136525799e-06,5.79834341707386e-07,1.07030136525799e-06,1.89279448836732e-06,8.27759129645722e-06,0.000626863231784458,0.00019581796991136,1.07030136525799e-06,1.18724029218864e-07,5.48374008424446e-08,3.93211471716448e-08,3.80235715136124e-08,4.86174880909296e-08,3.25557577840474e-07,0.00274587794867515,0.00238974722616236
0.00223308144623013,0.00216423759593609,0.00193332899966658,0.001695032189933,0.00193332899966658,0.00223308144623013,0.00261107184403797,0.00144391148357675,5.62491476896465e-07,3.3150963202333e-07,5.62491476896465e-07,1.43684545561573e-06,6.79894670763126e-06,0.000424501430459079,5.86737764010081e-05,5.62491476896465e-07,8.42430092906632e-08,4.12105157221454e-08,5.35952553448737e-08,7.49206601757813e-08,3.69112020393025e-08,2.04384561497406e-07,0.0028360428583159,0.00246302491739003
0.00500209864082402,0.00483968384299566,0.00467747061329188,0.00459925098175606,0.00467747061329188,0.00500209864082402,0.00581117494204136,0.00791144078330697,0.00979894220753436,0.00982459509048839,0.00979894220753436,0.00969233107666229,0.00953697316533625,0.00897840545462131,0.00940878554385671,0.00979894220753436,0.0103301829957255,0.0107792343594104,0.0154420218701572,0.0175326065238786,0.010886165825272,0.00981995632114363,0.00630229529744786,0.00548371679705917
0.000649217764500609,0.000624632179149542,0.00060303430394909,0.00059269769886261,0.00060303430394909,0.000649217764500609,0.000774833691091492,0.00124188161605748,0.00281543418300573,0.00353223305645728,0.00281543418300573,0.000338932702426686,0.000475987961356117,0.000877170267323923,0.000678645798787125,0.00281543418300573,0.00476846092827971,0.00692836455984319,0.00769979090947182,0.00768965740438055,0.00735053571774652,0.00443250913426257,0.000839868316064751,0.000735098033383008
0.00124736589165353,0.00120987252229571,0.00117144622413978,0.00115200071621802,0.00117144622413978,0.00124736589165353,0.00144272455278482,5.25503299501628e-05,7.5140077853697e-06,0.00178546424047438,7.5140077853697e-06,6.88335644205562e-07,1.07041288649468e-06,2.63811543671499e-06,1.57356886754112e-06,7.5140077853697e-06,0.00591888945161029,0.0137333812713959,0.0157777674272415,0.0154138111418471,0.0152367191511898,0.00529949213028991,0.00156488327568094,0.00135729731696005
0.00129470167148893,0.00125603769220517,0.00121400805721938,0.00119227671321748,0.00121400805721938,0.00129470167148893,0.00147299892232761,0.00322957690079012,0.00636148603503633,0.00664709666086227,0.00636148603503633,0.00554391968648227,0.00475602545270815,0.00399292931956724,0.00437645093988093,0.00636148603503633,0.00725280868554945,0.00798728954092404,0.00857598478163524,0.00872333043543172,0.00813436245530375,0.00686699839155364,0.00159845780630796,0.00139456709219493
0.00243421919152143,0.00235076256376682,0.0022708635239666,0.00223158323663292,0.0022708635239666,0.00243421919152143,0.00286147975286,0.0056082736581381,0.0103748115129847,0.0104978393875917,0.0103748115129847,0.0106498622895856,0.00908512761988473,0.00733793531230659,0.00819868175724925,0.0103748115129847,0.0113928518590241,0.0125292589875948,0.0134380774323054,0.013665226183275,0.0127564955684839,0.0108388537722876,0.0031025336245431,0.00269676726289425
2.56315080271463e-09,2.52617671225863e-09,2.48638432065462e-09,2.46534753722827e-09,2.48638432065462e-09,2.56315080271463e-09,3.52168727513202e-09,3.70063374388607e-09,3.76203046492662e-09,3.80176690129019e-09,3.76203046492662e-09,3.73651942719988e-09,3.72036240703366e-09,3.70349401146441e-09,3.71116332109622e-09,3.76203046492662e-09,5.90617454943043e-09,6.1114514005034e-09,6.28910523658988e-09,6.31970881181942e-09,6.15303247242238e-09,3.58036589265254e-09,3.43390516022168e-09,3.34439931304331e-09
4.77946560106801e-09,4.65518518177888e-09,4.53088810914437e-09,4.46884884652832e-09,4.53088810914437e-09,4.77946560106801e-09,8.78397976578071e-09,9.66310204075782e-09,1.02996802753275e-08,1.04789685262396e-08,1.02996802753275e-08,1.01300989263642e-08,9.96711085887725e-09,9.80423170426903e-09,9.88440779225996e-09,1.02996802753275e-08,2.65492117179633e-08,3.47087479868335e-08,4.28454889900287e-08,4.50602422041868e-08,3.66148859010096e-08,9.60601542754347e-09,8.40179148475784e-09,7.67813701507691e-09
5.32209870618416e-09,5.18951126515788e-09,5.05729280675382e-09,4.99034363832251e-09,5.05729280675382e-09,5.32209870618416e-09,1.01361173343584e-08,1.12801404328344e-08,1.21297120125874e-08,1.23671300422679e-08,1.21297120125874e-08,1.19051316582741e-08,1.16883521750211e-08,1.14721213639868e-08,1.15787912036147e-08,1.21297120125874e-08,4.03183999519996e-08,5.7282214638299e-08,7.73463996184276e-08,8.36223547628911e-08,6.16473765369108e-08,1.1193423132827e-08,9.63628604688793e-09,8.72026656439928e-09
