Case,Qg_frac,rho,u_min,N_ES_max,Feasible_volt,N_ES_sel,ES_Buses,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,TotalVoltSlack,TotalQg_pu,SolCode,SolTime_s
Qg_full_ES,1,0.4,0.2,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.891991592880094,18,0.315321118670499,0.709368195041095,0.800037672350832,8.56424705853148,0.682929668274602,0,1.2923692
ES_only,0,0.4,0.2,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.890286191187337,18,0.301760485095382,0.767925561130228,0.8,9.1219056559695,0,0,1.3039603
ES_Qg25,0.25,0.4,0.2,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.891402176012939,18,0.293734515894748,0.779815165464852,0.800000501909623,8.77379783512829,0.17735355607572,0,1.3256517
ES_Qg50,0.5,0.4,0.2,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.892514356934823,18,0.28830483590598,0.772862807021025,0.8,8.43104860636636,0.356039579326318,0,1.2605116
ES_Qg75,0.75,0.4,0.2,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.893622860667657,18,0.294314369899159,0.742630616593765,0.800010535036471,8.0984322787247,0.510987841384278,0,1.38635
Qg_full_ES,1,0.4,0.2,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.894727426395772,18,0.278864510690884,0.774136924976026,0.8,7.78857479627715,0.703449221958026,0,1.2400492
ES_only,0,0.4,0.2,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.891312327862205,18,0.297452465620569,0.748939607409656,0.800002242642115,8.82251894975553,0,0,1.18879
ES_Qg25,0.25,0.4,0.2,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.892426829305411,18,0.317372734489154,0.719252692821559,0.800028490647253,8.47719416080876,0.173927939122574,0,1.2167545
ES_Qg50,0.5,0.4,0.2,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.893537060272141,18,0.280374021347328,0.773834660262532,0.800000335506527,8.13957289717591,0.351354145434353,0,1.2353481
ES_Qg75,0.75,0.4,0.2,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.894643797308596,18,0.281225337968865,0.750665336711069,0.800003048199606,7.81785313484023,0.511731009737731,0,1.154207
Qg_full_ES,1,0.4,0.2,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.895746768875909,18,0.268083564020693,0.774192094540245,0.800000059656653,7.51757441130887,0.710695299208325,0,1.1676604
ES_only,0,0.4,0.2,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.891480645154569,18,0.302802680053078,0.709948874620159,0.8,8.77340873800068,0,0,1.0102763
ES_Qg25,0.25,0.4,0.2,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.892594662095653,18,0.311347861776297,0.713177039167199,0.8,8.42845591441162,0.175815187277676,0,1.0486877
ES_Qg50,0.5,0.4,0.2,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.893704881706533,18,0.300036977231362,0.690371098348674,0.8,8.09166376379074,0.348252265883174,0,1.0173622
ES_Qg75,0.75,0.4,0.2,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.894811338486453,18,0.28792403167312,0.688921973844568,0.8,7.77324607937059,0.525615615101605,0,1.1536074
Qg_full_ES,1,0.4,0.2,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.895914093228006,18,0.277011042313517,0.697653827174511,0.800000591536873,7.47297511979033,0.710055059338434,0,1.0526999
ES_only,0,0.5,0,4,0,4,[8 14 30 32],0.862548533368501,18,0.431521785002329,0.926498834116887,1.00000002365897,15.6708263189184,0,0,1.1384623
ES_Qg25,0.25,0.5,0,4,0,4,[8 14 30 32],0.863714101782839,18,0.426010882828257,0.943416818456559,1,15.1781382262971,0.176837238725324,0,1.1623327
ES_Qg50,0.5,0.5,0,4,0,4,[8 14 30 32],0.864875434511332,18,0.413835497771569,0.97080207406128,1.00000177284059,14.6942985937012,0.352772164655584,0,1.305348
ES_Qg75,0.75,0.5,0,4,0,4,[8 14 30 32],0.866032468055314,18,0.402345052359187,0.99725738878857,1.0000005650452,14.2234199312823,0.566337496000228,0,1.1692903
Qg_full_ES,1,0.5,0,4,0,4,[8 14 30 32],0.867185418788835,18,0.420088721082273,0.925731215788278,1.00000132552287,13.7667900121684,0.70487687317236,0,1.2960254
ES_only,0,0.5,0,8,0,8,[7 8 14 18 29 30 31 32],0.882471475351927,18,0.328943636592207,0.98967345641462,1.00000001167796,9.93505143837894,0,0,1.1700073
ES_Qg25,0.25,0.5,0,8,0,8,[7 8 14 18 29 30 31 32],0.883593429835378,18,0.321938129342995,0.996743547827466,1,9.54449169575704,0.181818170132451,0,1.0990597
ES_Qg50,0.5,0.5,0,8,0,8,[7 8 14 18 29 30 31 32],0.884711538951202,18,0.314197586784073,0.992603200857582,1,9.17693340845262,0.369795565201251,0,1.3399346
ES_Qg75,0.75,0.5,0,8,0,8,[7 8 14 18 29 30 31 32],0.885825830394899,18,0.309498475316981,0.988995316802065,1,8.83143664636879,0.541012291080747,0,1.2169461
Qg_full_ES,1,0.5,0,8,0,8,[7 8 14 18 29 30 31 32],0.886936336764218,18,0.306949119610085,0.997852344706913,1,8.53883704263432,0.731411329721885,0,1.0847977
ES_only,0,0.5,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.899739092194002,18,0.286085184135804,0.991061953189799,1.00000022270403,6.92261375330596,0,0,1.2448536
ES_Qg25,0.25,0.5,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.900828680949071,18,0.277606213737863,0.993171434169786,1.0000000234053,6.66508194791317,0.17410134380586,0,1.1558148
ES_Qg50,0.5,0.5,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.901914705907035,18,0.276544675187877,0.956765401571577,1.00000104467976,6.43808715588783,0.336390148509217,0,1.2526244
ES_Qg75,0.75,0.5,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.902997127190029,18,0.265801500252567,0.994529399058021,1,6.23554471588746,0.567940753584901,0,1.1925845
Qg_full_ES,1,0.5,0,12,0,12,[7 8 12 13 14 16 17 18 29 30 31 32],0.90407603144412,18,0.260787836101654,0.994276402734759,1,6.06415356727266,0.717328287278258,0,1.3849688
ES_only,0,0.5,0,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.908785119753037,18,0.213371182754005,0.976335760293297,1,5.19849495404632,0,0,1.2744406
ES_Qg25,0.25,0.5,0,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.909858354147239,18,0.20692075570629,0.991217455808296,1,5.03914178652297,0.146221192111636,0,1.3700788
ES_Qg50,0.5,0.5,0,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.91092812849131,18,0.204469558621546,0.988660361809299,1,4.88017503552824,0.3102988017416,0,1.2091575
ES_Qg75,0.75,0.5,0,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.911994481776518,18,0.195504191374293,0.997874636885979,1,4.72159010041274,0.536208984646619,0,1.1991165
Qg_full_ES,1,0.5,0,16,0,16,[7 8 12 13 14 15 16 17 18 24 25 29 30 31 32 33],0.913057432523592,18,0.189979165023346,0.999404629734466,1,4.56338631739954,0.733246210284615,0,1.3577643
ES_only,0,0.5,0,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.916579046925781,18,0.189543559188738,0.955038406200086,1,4.02553129490669,0,0,1.1561163
ES_Qg25,0.25,0.5,0,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.917638688439917,18,0.181386066208215,0.993653955261123,1,3.86696699018904,0.153822608971606,0,1.2894022
ES_Qg50,0.5,0.5,0,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.918694987809928,18,0.174349259111312,0.996352762072716,1.00000002038541,3.71300348327401,0.346850322219034,0,1.2071036
ES_Qg75,0.75,0.5,0,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.919747966878044,18,0.172810667637781,0.986463834609295,1,3.5601886187897,0.487846591366052,0,1.3082686
Qg_full_ES,1,0.5,0,20,0,20,[7 8 9 10 11 12 13 14 15 16 17 18 24 25 28 29 30 31 32 33],0.920797651639903,18,0.166852750452664,0.992381076614736,1,3.40773100579879,0.683911830168143,0,1.3312616
ES_only,0,0.5,0,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.920661557850067,18,0.163213621151527,0.997214710698449,1,3.26555243448853,0,0,1.4728634
ES_Qg25,0.25,0.5,0,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.921714489357353,18,0.160077231523478,0.993365170210925,1,3.12349910707982,0.160158621774882,0,1.2378846
ES_Qg50,0.5,0.5,0,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.922764135750207,18,0.161383687949621,0.965195140480458,1,2.98590547450147,0.28111260360609,0,1.2734357
ES_Qg75,0.75,0.5,0,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.923810521661117,18,0.152785869779897,0.982908121770891,1.0000002654276,2.84981228750975,0.508219355544856,0,1.1164744
Qg_full_ES,1,0.5,0,24,0,24,[4 6 7 8 9 10 11 12 13 14 15 16 17 18 24 25 26 27 28 29 30 31 32 33],0.92485366343355,18,0.147909877714607,0.990461205320429,1,2.71402584876051,0.70561594591932,0,1.2358764
ES_only,0,0.5,0,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.922191188319829,18,0.163097919851841,0.924440328523589,1,3.01943555085422,0,0,1.0986335
ES_Qg25,0.25,0.5,0,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.923241859351964,18,0.154264305381818,0.976569536671138,1,2.88280605800786,0.139557535667233,0,1.2613933
ES_Qg50,0.5,0.5,0,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.924289269438709,18,0.146678769731704,0.991154962687611,1,2.74648421512367,0.333337692497538,0,1.2106177
